
📺IPV6,#genre#
CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
📺电视直播,#genre#
CCTV-7,http://223.151.51.74:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8,http://223.151.51.74:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9,http://223.151.51.74:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10,http://223.151.51.74:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11,http://223.151.51.74:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12,http://223.151.51.74:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-新闻,http://223.151.51.74:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-少儿,http://223.151.51.74:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-音乐,http://223.151.51.74:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-17,http://223.151.51.74:9901/tsfile/live/1001_1.m3u8?key=txiptv
湖南卫视,http://223.151.51.74:9901/tsfile/live/0128_1.m3u8?key=txiptv
北京卫视,http://223.151.51.74:9901/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://223.151.51.74:9901/tsfile/live/0107_1.m3u8?key=txiptv
浙江卫视,http://223.151.51.74:9901/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://223.151.51.74:9901/tsfile/live/0127_1.m3u8?key=txiptv
天津卫视,http://223.151.51.74:9901/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://223.151.51.74:9901/tsfile/live/0126_1.m3u8?key=txiptv
