🌍大象融媒,#genre#

新密新闻,http://tvpull.dxhmt.cn:9081/tv/10183-2.m3u8

滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8

内黄综合,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8
淅川综合,http://tvpull.dxhmt.cn:9081/tv/11326-1.m3u8
栾川新闻,http://tvpull.dxhmt.cn:9081/tv/10324-1.m3u8


宜阳综合,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
焦作综合,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
焦作公共,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
武陟新闻,http://tvpull.dxhmt.cn:9081/tv/10823-1.m3u8
禹州综合,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8
兰考新闻,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8
杞县新闻,http://tvpull.dxhmt.cn:9081/tv/10221-1.m3u8
扶沟综合,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8
鹿邑新闻,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8
太康综合,http://tvpull.dxhmt.cn:9081/tv/11627-1.m3u8
永城新闻,http://tvpull.dxhmt.cn:9081/tv/11481-1.m3u8


淮滨综合,http://tvpull.dxhmt.cn:9081/tv/11527-1.m3u8

舞阳新闻,http://tvpull.dxhmt.cn:9081/tv/11121-1.m3u8

淇县,http://tvpull.dxhmt.cn:9081/tv/10622-1.m3u8
确山综合,http://tvpull.dxhmt.cn:9081/tv/11725-1.m3u8
新蔡综合,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8

封丘新闻,http://tvpull.dxhmt.cn:9081/tv/10727-1.m3u8
获嘉综合,http://tvpull.dxhmt.cn:9081/tv/10724-1.m3u8
卫辉综合,http://tvpull.dxhmt.cn:9081/tv/10781-1.m3u8
原阳新闻,http://tvpull.dxhmt.cn:9081/tv/10725-1.m3u8

郏县综合,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8
叶县,http://tvpull.dxhmt.cn:9081/tv/10422-1.m3u8

新野综合,http://live.dxhmt.cn:9081/tv/11329-1.m3u8
栾川新闻,http://live.dxhmt.cn:9081/tv/10324-1.m3u8
襄城电视台,http://live.dxhmt.cn:9081/tv/11025-1.m3u8
襄城电视台,http://live.dxhmt.cn:9081/tv/11025-1.m3u8

舞钢,http://live.dxhmt.cn:9081/tv/10481-1.m3u8
淇县,http://live.dxhmt.cn:9081/tv/10622-1.m3u8
原阳新闻综合,http://live.dxhmt.cn:9081/tv/10725-1.m3u8
沉丘新闻综合,http://live.dxhmt.cn:9081/tv/11624-1.m3u8
洛阳二套科教频道,http://wshls.live.migucloud.com/live/CXGQPXRK_C0/playlist.m3u8
洛阳三套文旅频道,http://wshls.live.migucloud.com/live/FJ7Q9PIT_C0/playlist.m3u8

宜阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
辉县新闻综合频道,http://live.dxhmt.cn:9081/tv/10782-1.m3u8
新乡县新闻综合频道,http://live.dxhmt.cn:9081/tv/10721-1.m3u8
原阳新闻综合频道,http://live.dxhmt.cn:9081/tv/10725-1.m3u8
焦作新闻综合频道,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
焦作睛彩频道,http://zhpull.dxhmt.cn/jiaozuo/c5eb91b47f0e42318f34fc0247c8acaa/playlist.m3u8
沁阳新闻综合频道,http://live.dxhmt.cn:9081/tv/10882-1.m3u8
焦作教育频道,http://zhpull.dxhmt.cn/jiaozuo/9c10435ad24c409baee219ec289e17d0/playlist.m3u8
武陟新闻综合频道,http://live.dxhmt.cn:9081/tv/10823-1.m3u8
灵宝新闻综合频道,http://live.dxhmt.cn:9081/tv/11282-1.m3u8
开封公共频道,http://tvpull.dxhmt.cn:9081/tv/10200-3.m3u8
尉氏新闻综合频道,http://live.dxhmt.cn:9081/tv/10223-1.m3u8
永城新闻综合频道,http://live.dxhmt.cn:9081/tv/11481-1.m3u8
襄城新闻综合频道,http://live.dxhmt.cn:9081/tv/11025-1.m3u8
禹州新闻综合频道,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
郏县新闻综合频道,http://live.dxhmt.cn:9081/tv/10425-1.m3u8

叶县电视台一套,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
鹿邑综合频道,http://live.dxhmt.cn:9081/tv/11628-1.m3u8

沈丘新闻综合频道,http://live.dxhmt.cn:9081/tv/11624-1.m3u8

舞阳新闻综合频道,http://live.dxhmt.cn:9081/tv/11121-1.m3u8









🌍河南广电,#genre#
CCTV1-综合,http://123.163.55.234:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2-财经,http://123.163.55.234:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3-综艺,http://123.163.55.234:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4-国际,http://123.163.55.234:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5-体育,http://123.163.55.234:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6-电影,http://123.163.55.234:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7-军农,http://123.163.55.234:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8-电视剧,http://123.163.55.234:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9-纪录,http://123.163.55.234:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10-科教,http://123.163.55.234:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11-戏曲,http://123.163.55.234:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12-社会与法,http://123.163.55.234:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13-新闻,http://123.163.55.234:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14-少儿,http://123.163.55.234:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15-音乐,http://123.163.55.234:9901/tsfile/live/0015_1.m3u8?key=txiptv
河南卫视,http://123.163.55.234:9901/tsfile/live/0139_1.m3u8?key=txiptv

河南都市频道,http://123.101.158.95:808/hls/32/index.m3u8
河南民生频道,http://123.101.158.95:808/hls/33/index.m3u8
河南法制频道,http://123.101.158.95:808/hls/34/index.m3u8
河南电视剧频道,http://123.101.158.95:808/hls/35/index.m3u8
河南公共频道,http://123.101.158.95:808/hls/38/index.m3u8
河南新农村频道,http://123.101.158.95:808/hls/39/index.m3u8
河南国际频道,http://123.101.158.95:808/hls/40/index.m3u8

北京卫视,http://123.163.55.234:9901/tsfile/live/0122_1.m3u8?key=txiptv
上海卫视,http://123.163.55.234:9901/tsfile/live/0107_1.m3u8?key=txiptv
浙江卫视,http://123.163.55.234:9901/tsfile/live/0124_1.m3u8?key=txiptv
湖南卫视,http://123.163.55.234:9901/tsfile/live/0128_1.m3u8?key=txiptv
四川卫视,http://123.163.55.234:9901/tsfile/live/0123_1.m3u8?key=txiptv
江苏卫视,http://123.163.55.234:9901/tsfile/live/0127_1.m3u8?key=txiptv
深圳卫视,http://123.163.55.234:9901/tsfile/live/0126_1.m3u8?key=txiptv
东南卫视,http://123.163.55.234:9901/tsfile/live/0137_1.m3u8?key=txiptv
辽宁卫视,http://123.163.55.234:9901/tsfile/live/0121_1.m3u8?key=txiptv
广东卫视,http://123.163.55.234:9901/tsfile/live/0125_1.m3u8?key=txiptv
安徽卫视,http://123.163.55.234:9901/tsfile/live/0130_1.m3u8?key=txiptv
天津卫视,http://123.163.55.234:9901/tsfile/live/0135_1.m3u8?key=txiptv
山东卫视,http://123.163.55.234:9901/tsfile/live/0131_1.m3u8?key=txiptv
湖北卫视,http://123.163.55.234:9901/tsfile/live/0132_1.m3u8?key=txiptv
黑龙江卫视,http://123.163.55.234:9901/tsfile/live/0143_1.m3u8?key=txiptv
江西卫视,http://123.163.55.234:9901/tsfile/live/0138_1.m3u8?key=txiptv
重庆卫视,http://123.163.55.234:9901/tsfile/live/0142_1.m3u8?key=txiptv
广西卫视,http://123.163.55.234:9901/tsfile/live/0113_1.m3u8?key=txiptv
贵州卫视,http://123.163.55.234:9901/tsfile/live/0120_1.m3u8?key=txiptv
陕西卫视,http://123.163.55.234:9901/tsfile/live/0136_1.m3u8?key=txiptv
