央视卫视,#genre#
CCTV1高清,http://113.240.139.144:8082/hls/1/index.m3u8
CCTV2高清,http://113.240.139.144:8082/hls/2/index.m3u8
CCTV3高清,http://113.240.139.144:8082/hls/3/index.m3u8
CCTV4高清,http://113.240.139.144:8082/hls/4/index.m3u8
CCTV5高清,http://113.240.139.144:8082/hls/5/index.m3u8
CCTV6高清,http://113.240.139.144:8082/hls/7/index.m3u8
CCTV7高清,http://113.240.139.144:8082/hls/8/index.m3u8
CCTV-8高清,http://113.240.139.144:8082/hls/9/index.m3u8
CCTV-9高清,http://113.240.139.144:8082/hls/10/index.m3u8
CCTV10高清,http://113.240.139.144:8082/hls/11/index.m3u8
CCTV11高清,http://113.240.139.144:8082/hls/12/index.m3u8
CCTV12高清,http://113.240.139.144:8082/hls/13/index.m3u8
CCTV13高清,http://113.240.139.144:8082/hls/14/index.m3u8
CCTV14高清,http://113.240.139.144:8082/hls/15/index.m3u8
CCTV15高清,http://113.240.139.144:8082/hls/16/index.m3u8
CCTV5+高清,http://113.240.139.144:8082/hls/6/index.m3u8
湖南卫视,http://113.240.139.144:8082/hls/17/index.m3u8
湖南电影高清,http://113.240.139.144:8082/hls/18/index.m3u8
湖南公共高清,http://113.240.139.144:8082/hls/19/index.m3u8
湖南娱乐高清,http://113.240.139.144:8082/hls/20/index.m3u8
江苏卫视,http://113.240.139.144:8082/hls/21/index.m3u8
浙江卫视,http://113.240.139.144:8082/hls/22/index.m3u8
北京卫视,http://113.240.139.144:8082/hls/23/index.m3u8
广东卫视,http://113.240.139.144:8082/hls/24/index.m3u8
东方卫视,http://113.240.139.144:8082/hls/25/index.m3u8
天津卫视,http://113.240.139.144:8082/hls/26/index.m3u8
江西卫视,http://113.240.139.144:8082/hls/27/index.m3u8
深圳卫视,http://113.240.139.144:8082/hls/28/index.m3u8
辽宁卫视,http://113.240.139.144:8082/hls/29/index.m3u8
东南卫视,http://113.240.139.144:8082/hls/30/index.m3u8
海南卫视,http://113.240.139.144:8082/hls/31/index.m3u8
湖北卫视,http://113.240.139.144:8082/hls/32/index.m3u8
广西卫视,http://113.240.139.144:8082/hls/33/index.m3u8
山东卫视,http://113.240.139.144:8082/hls/34/index.m3u8
重庆卫视,http://113.240.139.144:8082/hls/35/index.m3u8
云南卫视,http://113.240.139.144:8082/hls/36/index.m3u8
河南卫视,http://113.240.139.144:8082/hls/37/index.m3u8
黑龙江卫视,http://113.240.139.144:8082/hls/38/index.m3u8
贵州卫视,http://113.240.139.144:8082/hls/39/index.m3u8
河北卫视,http://113.240.139.144:8082/hls/40/index.m3u8
吉林卫视,http://113.240.139.144:8082/hls/41/index.m3u8
陕西卫视,http://113.240.139.144:8082/hls/42/index.m3u8
山西卫视,http://113.240.139.144:8082/hls/43/index.m3u8
内蒙古卫视,http://113.240.139.144:8082/hls/44/index.m3u8
宁夏卫视,http://113.240.139.144:8082/hls/45/index.m3u8
西藏卫视,http://113.240.139.144:8082/hls/46/index.m3u8
新疆卫视,http://113.240.139.144:8082/hls/47/index.m3u8
甘肃卫视,http://113.240.139.144:8082/hls/48/index.m3u8

地方频道,#genre#
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚新闻综合,https://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚姚江文化,https://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
巩义新闻综合,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8
荥阳综合,http://tvpull.dxhmt.cn:9081/tv/10182-1.m3u8
登封综合,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8
兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8
兰考新闻,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8
新安新闻综合,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8
嵩县综合新闻,http://tvpull.dxhmt.cn:9081/tv/10325-1.m3u8
宜阳综合频道,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8
宝丰综合频道,http://tvpull.dxhmt.cn:9081/tv/10421-1.m3u8
叶县电视,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
叶县电视,http://tvpull.dxhmt.cn:9081/tv/10422-1.m3u8
郏县综合频道,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8
滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8
内黄综合频道,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8
温县综合,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8
鄢陵综合,http://tvpull.dxhmt.cn:9081/tv/11024-1.m3u8
临颍综合,http://tvpull.dxhmt.cn:9081/tv/11122-1.m3u8
渑池新闻综合,http://tvpull.dxhmt.cn:9081/tv/11221-1.m3u8
义马新闻综合,http://tvpull.dxhmt.cn:9081/tv/11281-1.m3u8
义马新闻综合,http://live.dxhmt.cn:9081/tv/11281-1.m3u8
灵宝新闻综合,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8
淅川综合,http://tvpull.dxhmt.cn:9081/tv/11326-1.m3u8
新野综合,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8
邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8
光山综合,http://tvpull.dxhmt.cn:9081/tv/11522-1.m3u8
新县综合,http://tvpull.dxhmt.cn:9081/tv/11523-1.m3u8
潢川综合,http://tvpull.dxhmt.cn:9081/tv/11526-1.m3u8
扶沟综合,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8
西华综合频道,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8
鹿邑新闻频道,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8
项城新闻,http://tvpull.dxhmt.cn:9081/tv/11681-1.m3u8
