🌍河南广电,#genre#
CCTV1-综合,http://123.163.55.234:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2-财经,http://123.163.55.234:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3-综艺,http://123.163.55.234:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4-国际,http://123.163.55.234:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5-体育,http://123.163.55.234:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6-电影,http://123.163.55.234:9901/tsfile/live/0006_1.m3u8?key=txiptv
广西卫视,http://123.163.55.234:9901/tsfile/live/0113_1.m3u8?key=txiptv
贵州卫视,http://123.163.55.234:9901/tsfile/live/0120_1.m3u8?key=txiptv
陕西卫视,http://123.163.55.234:9901/tsfile/live/0136_1.m3u8?key=txiptv
云南卫视,http://123.163.55.234:9901/tsfile/live/0119_1.m3u8?key=txiptv
河北卫视,http://123.163.55.234:9901/tsfile/live/0117_1.m3u8?key=txiptv
山西卫视,http://123.163.55.234:9901/tsfile/live/0118_1.m3u8?key=txiptv
内蒙古卫视,http://123.163.55.234:9901/tsfile/live/0109_1.m3u8?key=txiptv
宁夏卫视,http://123.163.55.234:9901/tsfile/live/0112_1.m3u8?key=txiptv
新疆卫视,http://123.163.55.234:9901/tsfile/live/0110_1.m3u8?key=txiptv
吉林卫视,http://123.163.55.234:9901/tsfile/live/0116_1.m3u8?key=txiptv
青海卫视,http://123.163.55.234:9901/tsfile/live/0140_1.m3u8?key=txiptv
甘肃卫视,http://123.163.55.234:9901/tsfile/live/0141_1.m3u8?key=txiptv



